fit,upr,lwr,wtp
-2.6160972104830407,2.7493811936361006,-4.206431659416004,0.07308755225738439
-2.1984808275511583,2.6084519555303496,-4.203389889646249,0.11097161539300421
-2.8197682960421817,2.8430923618249215,-4.043489304299566,0.05961975524192199
-21.167218387644724,-2.8690018010414455,-9.27317005536446,6.414958586357156e-10
-18.534184194649555,-3.0750654676949627,-9.352419248113954,8.927011159646384e-9
-24.429406106669617,-2.906639506847695,-9.331563572331348,2.4572182471299058e-11
-7.410398257663177,1.2322299553155929,-5.3784517229511275,6.049297286548637e-4
-6.640134228715079,0.9087246343151006,-5.406380993598458,0.0013068518150229297
-8.951859227656747,1.049155648326346,-5.436311928314108,1.2949617322378996e-4
-26.341778001121668,-4.494601127073044,-11.263628552791289,3.63003799370317e-12
-23.313903463528963,-4.672523380921434,-11.249994687849721,7.497222056066469e-11
-30.51555847883932,-4.2417126793957785,-11.023431263032412,5.588063601204333e-14
