"","studyloc","lninc","lnq0","lnq_change","local","forest","us","lnyear","studyid","prov","lumpsum","volunt","nrev","reg","cult","ce"
"1","sk",11.4197130832481,14.8316976642296,11.6313660621634,0,0,0,3.29583686600433,130,0.302325581395349,0.232558139534884,0.27906976744186,0.534883720930233,0.720930232558139,0.558139534883721,0.232558139534884
"2","ab",11.5861759267098,11.7366768315273,10.1522208748493,0,0,0,3.29583686600433,130,0.302325581395349,0.232558139534884,0.27906976744186,0.534883720930233,0.720930232558139,0.558139534883721,0.232558139534884
"3","mn",11.390757830996,12.7359829919016,9.3702458894858,0,0,0,3.29583686600433,130,0.302325581395349,0.232558139534884,0.27906976744186,0.534883720930233,0.720930232558139,0.558139534883721,0.232558139534884
