phjv_fit,studyloc,phjv_wtp,phjv_hhsz,totaleconlost
2.908710523417422,sk,18.333143159959132,432652,7931871.0544426385
2.5141547732919736,ab,12.35616060724335,1527675,18876197.655670483
2.2071821294507505,mn,9.090065641502797,489050,4445496.601976943
