fit,upr,lwr,wtp
0.9296843767268065,3.149320913905479,-2.8480686268325894,2.533709353763427
0.42717152952474713,3.2263888985264466,-2.856874465260024,1.5329155794551188
1.4244229843295904,3.301954313058532,-2.7530353891752757,4.155459385665611
0.9162339178092205,3.1572852302686205,-2.5879839203857773,2.4998579688723845
0.45599507142638224,2.968375940161438,-2.9110855500686097,1.5777425687269158
1.2790112173714925,3.233413055790294,-2.5615653508333076,3.593085188309589
-2.728147691510077,2.200373892940134,-4.118649300121161,0.06534020786641619
-2.7012998220689037,2.0769525538815428,-4.170519623262059,0.06711821427966232
-2.7776503699375006,2.3391452945372544,-3.9154884057860233,0.06218444630342757
-4.039988530387132,1.7171185539685296,-4.550807824747701,0.017597674252976956
-3.926822158003387,1.8063481992126937,-4.412825913275541,0.01970619633340232
-4.235690650260339,1.8045922627261082,-4.260236854042112,0.014469813165700727
