us,variable,mean,sd,min,med,max,n.valid,pct.valid
0,ce,0.16666666666666666,0.3834824944236852,0,0,1,18,100
0,cult,0.2222222222222222,0.4277926319464986,0,0,1,18,100
0,forest,0.4444444444444444,0.5113099925649136,0,0,1,18,100
0,lninc,11.180082579895995,0.23003588031380726,10.7028215959293,11.0933363568422,11.5305627039775,18,100
0,lnq_change,11.44254036430412,2.52663488504818,8.34283980427146,11.695457641216844,17.94701120345744,18,100
0,lnq0,9.403382018970218,6.357266363842967,0,13.76335900063759,17.541546119437417,18,100
0,lnwtp,4.921552452809818,1.4466822580025085,2.53549295719893,5.8320869734745795,6.76984735956962,18,100
0,lnyear,2.8985845495528646,0.1904467614068343,2.39789527279837,2.89037175789616,3.17805383034795,18,100
0,local,0.5,0.5144957554275266,0,0.5,1,18,100
0,lumpsum,0.05555555555555555,0.23570226039551584,0,0,1,18,100
0,nrev,0.8888888888888888,0.3233808333817773,0,1,1,18,100
0,prov,0.4444444444444444,0.5113099925649136,0,0,1,18,100
0,q0,2826637.5555555555,9669501.192194426,0,949184,41514200,18,100
0,q1,6512508.5,24286966.248752635,5884,1064442,103785500,18,100
0,reg,0.7222222222222222,0.4608885989624768,0,1,1,18,100
0,volunt,0.16666666666666666,0.3834824944236852,0,0,1,18,100
0,wtp_original,249.57162222222223,231.80675555348407,11.6,298.375,836,18,100
1,ce,0.28,0.458257569495584,0,0,1,25,100
1,cult,0.72,0.458257569495584,0,1,1,25,100
1,forest,0.56,0.5066228051190221,0,1,1,25,100
1,lninc,11.265164082901435,0.25500900490370215,10.9050932644675,11.2752972644675,11.7464742644675,25,100
1,lnq_change,7.067429254476636,2.2907517615002857,3.367295829986474,6.551080335043404,11.097410021008562,25,100
1,lnq0,9.10462061961593,2.3399051967612157,0,8.699681400989514,12.300887248010884,25,100
1,lnwtp,3.597630856577136,1.4165246145728774,0.399425171467491,3.75340236446749,6.31761876446749,25,100
1,lnyear,2.184763523795587,1.8588546903370315,0,1.7917595,7.607381426,25,100
1,local,0.44,0.5066228051190221,0,0,1,25,100
1,lumpsum,0.36,0.4898979485566356,0,0,1,25,100
1,nrev,0.28,0.458257569495584,0,0,1,25,100
1,prov,0.36,0.4898979485566356,0,0,1,25,100
1,q0,33936.28,58865.2278510837,0,6000,219890,25,100
1,q1,43710.08,62794.26538633922,1408,8500,220000,25,100
1,reg,0.56,0.5066228051190221,0,1,1,25,100
1,volunt,0.36,0.4898979485566356,0,0,1,25,100
1,wtp_original,66.74159498013229,97.25795886024606,1.14689800050966,32.820000470575,426.347397061017,25,100
