fit,upr,lwr,wtp
2.5892617901135013,5.27487713903163,0.1896949608932296,13.319935065175038
2.4210492324882935,5.257064630014078,-0.1703821913356346,11.257665028219725
2.783511004473514,5.41351355981923,0.35105284630791755,16.17571436987457
0.3010209913147846,2.9910414827570633,-2.334613747236744,1.3512377054963411
0.13258502747592207,2.973338995268865,-2.5920585934405542,1.141776094301335
0.5458703461492593,3.3034047945422946,-2.217739612622173,1.7261100420280722
2.2974221925598126,5.064606335452174,-0.30689376200938445,9.948504044291376
2.178723482624996,4.967803229690732,-0.5212138602188868,8.835020999524184
2.5376294760373055,5.233392055546521,-0.009142913503519787,12.649649104793557
0.2756711670549902,3.385342688446598,-2.794506126374753,1.3174145834754645
0.15006839619421808,3.1455274869602192,-2.9195220848499024,1.161913710486413
0.47228754433355113,3.52732826385884,-2.4291436557688866,1.6036584403337593
