variable,mean,sd,min,med,max,n.valid,pct.valid
ce,0.1951219512195122,0.40121765882884264,0,0,1,41,100
cult,0.4878048780487805,0.5060608273474739,0,0,1,41,100
forest,0.4878048780487805,0.5060608273474739,0,0,1,41,100
lninc,11.217673707787961,0.24554755002713202,10.7028215959293,11.2556856648917,11.7464742644675,41,100
lnq_change,8.742367974217952,3.211797059716721,3.367295829986474,8.517193191416238,17.94701120345744,41,100
lnq0,8.99291846405203,4.387411528739,0,9.210440366976517,17.541546119437417,41,100
lnwtp,4.16218108406669,1.5476933965891975,0.39942517146748907,4.119547264467491,6.728628613084702,41,100
lnyear,2.456208905155961,1.4850685064305185,0,2.56494935746154,7.607381426,41,100
local,0.4878048780487805,0.5060608273474739,0,0,1,41,100
lumpsum,0.24390243902439024,0.43476935292624114,0,0,1,41,100
nrev,0.24390243902439024,0.43476935292624114,0,0,1,41,100
prov,0.36585365853658536,0.48765241519834646,0,0,1,41,100
q0,1197891.8292682928,6463681.286396386,0,10000,41514200,41,100
q1,2811912.3170731706,16172775.1501788,1408,17520,103785500,41,100
reg,0.6097560975609756,0.4938647983247948,0,1,1,41,100
us,0.6097560975609756,0.4938647983247948,0,1,1,41,100
volunt,0.2926829268292683,0.4606464174952623,0,0,1,41,100
wtp_original,160.87515242976232,196.13166635520125,1.49096740066255,61.5313785160315,836,41,100
